NCHILD,NCHLT5,SEX,AGE,MARST,RACE,RACED,HISPAN,EDUC,EMPSTAT,INCWAGE,VETSTAT
0,0,1,18,6,8,826,1,6,1,18000,1
0,0,1,21,6,8,826,1,6,1,20000,1
0,0,2,26,6,2,200,0,6,1,3000,1
0,0,1,60,5,6,600,0,10,1,40000,1
0,0,1,58,4,1,100,0,6,1,11000,1
0,0,1,19,6,1,100,0,6,1,22700,1
0,0,1,45,6,6,600,0,4,1,20000,1
0,0,1,24,6,1,100,2,6,1,23000,1
0,0,2,18,6,6,669,0,6,1,580,1
0,0,1,26,6,6,600,0,6,1,36000,2
0,0,1,30,2,2,200,0,10,1,8000,1
0,0,1,50,6,4,400,0,7,1,2000,1
0,0,1,39,6,7,700,1,6,1,6500,1
0,0,2,43,6,1,100,0,6,1,5400,1
0,0,1,43,2,1,100,0,6,1,30000,1
0,0,1,22,6,6,699,0,6,1,32000,1
0,0,2,20,6,1,100,1,7,1,3500,1
0,0,1,19,6,1,100,0,7,1,9000,1
0,0,2,62,4,1,100,0,10,1,0,1
0,0,1,45,6,1,100,0,10,1,0,1
0,0,2,28,1,1,100,0,10,1,93000,1
0,0,1,24,1,1,100,0,7,1,63000,1
4,0,1,47,1,7,700,1,3,1,20000,1
4,0,2,46,1,7,700,1,3,1,17000,1
1,1,1,26,6,7,700,1,6,1,20000,1
0,0,1,25,6,7,700,1,6,1,24000,1
0,0,1,23,6,7,700,1,0,1,1000,1
0,0,2,20,5,2,200,0,8,1,13000,1
0,0,2,61,1,4,400,0,10,1,156000,1
0,0,1,57,1,1,100,1,8,1,0,1
1,0,2,54,3,7,700,1,4,1,5200,1
1,0,2,28,6,7,700,1,6,1,70000,1
3,0,2,35,4,1,100,0,10,1,175000,1
3,0,1,46,6,4,400,0,8,1,80000,1
0,0,2,57,6,1,100,1,6,1,28000,1
2,0,1,60,5,1,100,1,6,1,30000,1
0,0,2,35,6,2,200,0,6,1,12900,1
0,0,1,53,1,8,826,4,6,1,90000,1
0,0,2,48,1,7,700,1,6,1,80000,1
0,0,2,39,6,1,100,0,10,1,113000,1
2,0,2,58,1,6,600,0,7,1,71000,1
0,0,2,18,6,9,917,0,6,1,0,1
2,1,1,40,1,7,700,1,10,1,100000,1
0,0,2,21,6,9,963,0,7,1,15000,1
0,0,2,21,6,9,963,0,7,1,20000,1
0,0,1,40,1,1,100,0,7,1,26000,1
0,0,2,39,1,1,100,0,6,1,42000,1
3,0,1,52,1,1,100,0,10,1,143000,1
3,0,2,50,1,1,100,0,6,1,30000,1
